"","X","title","company","location","summary","link","uniqueid","description"
"1",1,"Data Scientist","Tradeweb Markets LLC","New York, NY","3+ years of experience working in data science at a financial, technology or media firm.","https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CMUDaL693WNRk3nrnFOjU9lIdT9MBrzyndVEc7SiTvGZioZKKxete70qyuGurKodEJBmUDJbt-ILjJPu1MMG-H3c5e4sUo1HjjHD2cQnL5fEZTUn222y_K_KHsG6DYidt5bTLF2kCEzXOuyCjbva5W-EmG46vPKlOm5NEFi9x9crRIgVWSjTebADXlgv6ifnKpdc3IBF3XIkw2jLwBZQ-SmccAVqwusewNdXlhvwatcAOWnHmYj1oNTsWnbZ90i37fp3isMoHmZnqa_qikGNhsn23IyKmq7KMZW1zoszbicvmgGNwBIvI7n5V2YG5CmrZjlBiGEBQ-V7dPGFEwVuN-XkgNk9A6bqVTPPIpYTPoQznzzxSvzwNc8wH8GOklU02iTb_gFQ4Nz-bUVMVj9bBVCksLXdI5PRELhKI_jw_jhGd5J2Fm_8iShVTAMw0DoymfbXuZivq5D1TtZPrMoM9stqVIqtdJ55h1UEhwp7Inub7Z4SuNZqb7b8GSGWkqcdEVYnC5AF_zXZaT6mlf0cb3GTNU_pbs_7nRuFnCs-D-rWZ9GMykmmofNOxsSJXv6kbvW4UBx8fhIiXbQNTZdfoMpViMyq4jXbL59Lz7kFyvShmVA1tscWpG-NOLdAkl92U=&p=0&fvj=0&vjs=3","a1bc5c50e2daa4a6e8d0c0636cd51be7","Tradeweb is looking to add a Data Scientist to its Data  Analytics team Our Data Science team is responsible for managing the development and optimization of advanced analytics on a global scale across the companyIn this role you will enjoy working with one of the richest financial data sets in the world cutting edge technology and the ability to see your insights turned into real products on a regular basis The ideal candidate will have experience doing advanced data analysis will have worked with large data stores and will have experience building machine learning models Candidates should be curious focused on results a selfstarter and have demonstrated success in using analytics to drive value in an organizationJob ResponsibilitiesDesign build test and deliver new data science services and advanced analytics to Tradeweb globallyDevelop scalable tools leveraging machine learning andor deep learning models to solve realworld problems in areas such as time series predictionsSuggest collect and synthesize requirements to create an effective roadmap towards the deployment of productionlevel machine learning applicationsMaintain improve and deliver innovations to the existing data products usedInvestigate ad hoc issues and debugging regressionsContribute to testing plans and validate statistically accurate resultsAnalyze data trends to identify opportunities for growthPartner with Data Engineering to ensure the right metrics are created and validate accuracyValidate metric accuracy for internal and external reporting Masters Degree or PhD in a quantitative field Computer Science Data Science Statistics Operations Research Machine Learning or Economics or equivalent work experience 3 years of experience working in data science at a financial technology or media firm Significant experience and expertise with probability and statistics inclusive of machine learning experimental design and optimization Highly skilled in scripting languages and have rapid prototyping skills like SQL Python Perl Java among others Team builder results oriented and proactiveAbout TradewebTradeweb Markets Inc NASDAQ TW is a leading global operator of electronic marketplaces for rates credit equities and money markets Founded in 1996 Tradeweb provides access to markets data and analytics electronic trading straightthroughprocessing and reporting for clients in the institutional wholesale and retail markets Advanced technologies developed by Tradeweb enhance price discovery order execution and trade workflows while allowing for greater scale and helping to reduce risks in client trading operations For more information please go to wwwtradewebcom Tradeweb Markets LLC Tradeweb is proud to be an EEO MinoritiesFemalesProtected VeteransDisabledAffirmative Action Employerhttpswwwdolgovofccpregscomplianceposterspdfeeopostpdf"
"2",2,"Junior Data Scientist – Performance Analytics","Marina Maher Communications","New York, NY","1-3 of experience in data analytics or data science role.","https://www.indeed.com/rc/clk?jk=503b042faf79bcb0&fccid=654e90d7ed1a0db0&vjs=3","70823013c23be8c72e4ec2b1a24e474f","About MMCMMC is not your average PR agency We are a datadriven nextgen communications company that delivers scaled influence cultural relevance and brand talkability for our Fortune 200 consumer and healthcare brands We consistently breakdown barriers to spark conversations and drive business results for our clients Innovators at heart we love to build and challenge the status quo Thats why PRovoke Media named us a 2020 Agency of the DecadeFor the entrepreneurially minded working at MMC is an amazing opportunity to get people talking thinking and behaving differently Were relentlessly curious always creating innovating often agile and responsive This spirit is reflected in our deep commitment to fostering and cultivating a culture and environment where we celebrate and advance diversity equity and inclusion for all MMC and RXM staff As a team were on the pursuit to identify and advance efforts to ensure our agency reflects our communities and the communities of the clients that we serveResponsibilitiesJunior Data Scientist  Performance AnalyticsIntroductionOur Performance Analytics group helps our clients make better business decisions powered by data science To deliver this mission we offer the ability to segment and size audiences as a part of campaign planning forecast the impact of our campaign activations and prove the impact our work on client brands and businessThe Junior Data Scientist will report directly to the Data Scientist Performance Analytics Working as a part of the broader Business Strategy  Analytics team the Junior Data Scientist will assist the Data Scientist in helping to maintain sustainable data best practices building predictive models and supporting communications strategies for some of the worlds leading healthcare and CPG clientsKey ResponsibilitiesHelp to build and maintain statistical models focused on scalability repeatability and accuracyCollect organize and munge data for input into modelsConduct exploratory data analysis to find insights worth exploring furtherMaintain and contribute towards written documentation of methodologies on GitHubAssist the Data Scientist with model building  both ideation and implementationBuild and update dashboards in Google Data StudioUtilize a variety of platforms including Google Analytics to source data for routine updatesDevelop and write insights for client consumptionBecome a power user of MMCs tech stackDevelop and describe audience segments based on behavioral attributes and affinitiesGather data on social media influencers and brands and conduct social listening share of voice and sentiment analysisDevelop and lead internal and client presentations on analytics work and underlying dataAssist in developing and maintaining data best practices throughout the agencyCollaborate with client service and strategist teams to provide key insights and implications from dataUse data to help clients understand their audiences competitive landscape culture and industry to inform planning processQualificationsRequirements13 of experience in data analytics or data science roleApplied experience utilizing Python or R to clean analyze and visualize dataPython pandas numpy scikitlearn matplotlib seaborn scipy statsmodelsR tidyverseDemonstrated ability to solve abstract problems with realized methodologies and solutionsSelfstarter with a nevergiveup attitude when facing new and varied challengesAble to manage multiple workstreams and priorities in a fastpaced environmentAbility to translate business needs into technical data aggregation implementation and analysisAbility to thrive in a collaborative culture and work across organizational functionsStrong writing and presentation skills in English languageInterest in advertisingmarketingPRPreferred Skills and QualificationsExperience querying and manipulating data with SQLExposure to various types of data  social media purchase brand tracking and website analytics specificallyExperience using data visualization tools such as Google Data Studio Tableau or Datorama"
"3",3,"Data Scientist","Noom US","New York, NY","You have 4+ years of experience as a Data Scientist or Data Analyst in a similarly-sized organization, with a proven record of analysis and research that…","https://www.indeed.com/rc/clk?jk=1c4380354c6d3589&fccid=17f7c591b33e9dc5&vjs=3","a0b3a03e4ea9deeaf9e034af100eab39","At Noom we use scientifically proven methods to help our users create healthier lifestyles and manage important conditions like TypeII Diabetes Obesity and Hypertension Our Engineering team is at the forefront of this challenge solving complex technical and UX problems on our mobile apps that center around habits behavior and lifestyleWe are looking for a Data Scientist to join our Data team and help us ensure that we apply the best approaches to data analysis and research artificial intelligence and machine learningWhat Youll Like About UsWe work on problems that affect the lives of real people Our users depend on us to make positive changes to their health and their livesWe base our work on scientificallyproven peerreviewed methodologies that are designed by medical professionalsWe are a datadriven company through and throughWere a respectful diverse and dynamic environment in which Engineering is a firstclass citizen and where youll be able to work on a variety of interesting problems that affect the lives of real peopleWe offer a generous budget for personal development expenses like training courses conferences and booksYoull get three weeks paid vacation and a flexible work policy that is remote and familyfriendly about 50 of our engineering team is fully remote We worry about results not time spent in seatsWhat Well Like About YouYou have 4 years of experience as a Data Scientist or Data Analyst in a similarlysized organization with a proven record of analysis and research that positively impacts your teamYou possess excellent communication skills and the ability to clearly communicate technical concepts to a nontechnical audienceYou possess excellent SQLrelational algebra skills ideally with at least a basic knowledge of how different types of databases eg column vs row storage workYou have a superior knowledge of statistical analysis methods such as input selection logistic and standard regression etcYou are comfortable writing Python code and have good working knowledge of pandas and numpy We dont expect you to write productionquality code but you should have some programming experienceYou are comfortable with at least medium data technologies and how to transcend the memory bound nature of most analytics tools"
"4",4,"Distribution Attendant (Monday-Friday 12am-8am)","NYU Langone","New York, NY","Conducts proofreading and checking of documents for accuracy and inputting/retrieving data into or from an automated inventory control computer system or…","https://www.indeed.com/rc/clk?jk=059e5001227b8940&fccid=848e72c84ce4a7a7&vjs=3","eb83f2d50ba14c5bf0fc230f6ef20294","NYU Langone Health is a worldclass patientcentered integrated academic medical center known for its excellence in clinical care research and education It comprises more than 200 locations throughout the New York area including five inpatient locations a childrens hospital three emergency rooms and a level 1 trauma center Also part of NYU Langone Health is the Laura and Isaac Perlmutter Cancer Center a National Cancer Institute designated comprehensive cancer center and NYU Grossman School of Medicine which since 1841 has trained thousands of physicians and scientists who have helped to shape the course of medical history For more information go to nyulangoneorg and interact with us on LinkedIn Glassdoor Indeed Facebook Twitter YouTube and InstagramPosition SummaryWe have an exciting opportunity to join our team as a Distribution Attendant MondayFriday 12am8amIn this role the successful candidate responsible for performing a full range of order fulfillment and receivingwarehouse functions including loading and unloading shipping receiving weighing tagging sorting counting stocking storing packing and unpacking of supplies mail and equipment operates postage equipment Receives supplies and equipment and verifies count against bill of lading packing slips and other accompanying documents Downloads pick tickets utilizing inventory control applications and scanning handheld devices and assembles orders for par program and Nursing Units while following hospitaldepartmental policies and procedures Distributes supplies and equipment throughout the Medical Center using manual equipment Uboats hand or platform trucks Sorts and weighs outgoing mail from campus departments and offices into established mail services breakdown operates mail processing maintains accurate incoming and outgoing mail volume records prepares and maintains First Class Presort vendor mail pickup and delivery receipts Performs related recordkeeping functions such as logs returns notes involving damage or adjustmentsJob ResponsibilitiesReceives unloads and loads hospital supplies and equipment Receives supplies and equipment from vendors and verifies accuracy and count of items received Performs labeling sorting wrapping tagging stocking packing and unpacking of supplies and equipment and repacking for shipment as neededBreaks down and separates incoming shipments of supplies and equipment and sorts them onto platform trucks uboats and pallets according to building for distribution to final destination Obtains appropriate authorizing signatures when delivering supplies to the end usersReports all discrepancies such as overshipment shortages damages incorrect catalog numbers and POs or unusual situation to supervisory staff Maintains accurate records of all transactions as requiredReceives loads and unloads pallets of supplies and places them into pallet racks and shelving units by hand or power and manual equipment making sure to rotate supplies in accordance with expiration dateMaintains inventory levels by checking shelves restocking supply carts and maintaining supply records Picks and assembles supplies and equipment into boxestotes to facilitate movement of materials to specified Nursing Units and par program Replenishes parstock carts on patient care areas including medsurg intravenous and instrument suppliesEnsures parstock carts are accurately filled to the appropriate stock level Ensures a neat and orderly appearance of the supply cartsMakes deliveries of requested supplies for patient care areas throughout the Medical Center Obtains appropriate authorizing signatures when issuing suppliesEnsures that supplies and equipment delivered to the end users or for the par program are accounted for by a complete appropriate and accurate document ie requisition pick ticket purchase order etcConducts proofreading and checking of documents for accuracy and inputtingretrieving data into or from an automated inventory control computer system or handheld devices Performs cycle counts and physical inventory responsibilities Notifies Supervisor of inventory discrepancies in the store room or supply closetsOperates pallet jacks forklift trucks other material handling equipment to pick supplies and equipment from stock in a safe and efficient manner Adheres to all workload schedules Maintains a clean neat and orderly work areaMaintains efficient and proper care of all hospital materials handling supplies and equipment Sorts and distributes mail on a timely basis Maintains all postage meters Answers mail services telephone and provides individuals with assistance regarding mailing information and mail preparationMakes special pickupsdeliveries of timerelated materials large bulky and heavy mail items parcels or mailbags Runs errands and performs simple routine messenger dutiesPerforms other duties as assignedMinimum QualificationsTo qualify you must have a High School or General Equivalent Diploma Effective communication skills verbal and written Experience working with computerized inventory management and warehousing systems such as barcode and handheld scanning devices etc Effectively plan organize prioritize and execute workprojects with attention to details Accuracy in recordkeeping Strong attention to detail Participates in identifying problems and suggesting solutions Maintains professional interactions with customers and materials management staff Demonstrates an ability to function successfully in a team environment Exhibits courteous compassionate and respectful treatment of internal and external customers Efficient and safe operation of postal equipment material handling equipment Forklift power and manual jacks etc Must be able to lift a minimum of fifty pounds 50 lbsPreferred QualificationsTwo years of warehouse andor store experience preferredQualified candidates must be able to effectively communicate with all levels of the organizationNYU Langone Health provides its staff with far more than just a place to work Rather we are an institution you can be proud of an institution where youll feel good about devoting your time and your talentsNYU Langone Health is an equal opportunity and affirmative action employer committed to diversity and inclusion in all aspects of recruiting and employment All qualified individuals are encouraged to apply and will receive consideration without regard to race color gender gender identity or expression sex sexual orientation transgender status gender dysphoria national origin age religion disability military and veteran status marital or parental status citizenship status genetic information or any other factor which cannot lawfully be used as a basis for an employment decision We require applications to be completed onlineIf you wish to view NYU Langone Healths EEO policies please click here Please click here to view the Federal EEO is the law poster or visit httpswwwdolgovofccpregscompliancepostersofccposthtm for more information To view the Pay Transparency Notice please click hereRequired SkillsRequired Experience"
"5",5,"Data Analytics Intern","The New York Times","New York, NY","An interest in data privacy and more generally data ethics.","https://www.indeed.com/rc/clk?jk=bbfec3eab5e85a67&fccid=1b50fcfb150b1b48&vjs=3","266591ca26e21e8b92f5c4ed7d70c3bb","The New York Times is committed to producing the worlds most reliable and highest quality journalism Our ability to do so relies on an experienced team of expert analysts who help NYT learn from a tremendous abundance of data unique to this company The Times is looking for a Data Analytics Intern to join our growing Data and Insights Group DIG which includes data analytics data science and data engineering for all New York Times offerings including the newspaper and NYTimescom While qualifications below are listed they are not requirementsAll applicants pursuing undergraduategraduate studies who want to develop their analysis and computational skills are encouraged to apply The intern program will be 100 remotePlease note that this internship is paid and applications will be accepted until December 16 2020Specific projects will vary but overall responsibilities may includeWork with internal business and newsroom partners to understand their goals and opportunitiesUse exploratory analysis to deeply understand The New York Timess audience and their behavior across platformsUse observation and analysis to recommend iterative improvements to The New York Timess productsPartner with data analysts and product managers on the endtoend process of test design implementation and analysisDemocratize data through designing building and automating dashboards or other reporting toolsInfluence your team at all levels of the organization to take action on business opportunities based on insights generatedCommunicate and document findings and insights to your team across the companyPreferred QualificationsTechnical RequiredExperience in manipulating and analyzing datasetsAn understanding of applying statistics quantitative andor qualitative research methods to business problems market research or academic inquiriesAdditional experience in or willingness to learn SQL Python or other coding languagesTechnical Plus not requiredExperience with website or media analyticsNonTechnicalCommitment to The Timess mission of delivering the worlds best and most reliable journalism Desire to join the worlds most important journalism company at a moment in history when the importance of learning from our data is transforming every aspect of the craft and practice of journalismCommunicate complex analyses to all audiencesAn interest in data privacy and more generally data ethicsThe desire to work in a completely remote environmentAbout Our Summer InternshipsOur internships are paidIt is 10 weeks long starting in June 2021You will work remotely during the summerBenefits and PerksInterning at The New York Times is a unique opportunity to work at a historic and innovative global media organization dedicated to enhancing society by creating collecting and distributing highquality news and informationYou will be helping to power distribute and expand what is possible for our awardwinning journalismWe run a weeklong maker event during the summer where Design Product Project Marketing and Technology come together to work on creative crossfunctional projectsWe have frequent panel discussions and talks by a wide variety of news makers and industry leadersNYT interns benefit from competitive pay great perks and influential networkingThe New York Times is committed to a diverse and inclusive workforce one that reflects the varied global community we serve Our journalism and the products we build in the service of that journalism greatly benefit from a range of perspectives which can only come from diversity of all types across our ranks at all levels of the organization Achieving true diversity and inclusion is the right thing to do It is also the smart thing for our business So we strongly encourage women veterans people with disabilities people of color and gender nonconforming candidates to applyThe New York Times Company is an Equal Opportunity Employer and does not discriminate on the basis of an individuals sex age race color creed national origin alienage religion marital status pregnancy sexual orientation or affectional preference gender identity and expression disability genetic trait or predisposition carrier status citizenship veteran or military status and other personal characteristics protected by law All applications will receive consideration for employment without regard to legally protected characteristics The New York Times Company will consider qualified applicants including those with criminal histories in a manner consistent with the requirements of applicable state and local Fair Chance laws"
"6",6,"Data Scientist","Altice","New York, NY","Ability to work with a massive amount of data.","https://www.indeed.com/rc/clk?jk=063d566a7b779c5d&fccid=915628603ff911ad&vjs=3","52e67b4e3e37d880c08a49f65dc0dbbe","New York Interconnect NYI  Through a strategic partnership between Altice USA Charter Communications and Comcast the New York Interconnect is among the largest single market advertising platforms in the United States We provide advertisers with the ability to reach more than 62 million households in the New York DMA using a variety of advanced advertising products including the ability to place ads on more than 85 cable networks as well as planning and campaign measurementThe Data Scientist is responsible for providing overall support to the New York Interconnect for Addressable TV campaigns via SQL programming queries against outlined objectives as well as provide research insights and analysis to support the Ad Sales team ResponsibilitiesWrite SQL scripts to derive HH counts and create tables based on settop box and attribute data for use in the creation of audience segments The segments are used in targeting TV households for Addressable TV Tunein campaignsWrite SQL scripts to extract data for use in the creation of custom attribution analyses for TV TuneIn campaignsUtilize Alteryx to run quarterly workflow for MVPD sub count submissionUpdate and maintain Domo and Excel dashboards for the Sales teamGenerate campaign reports for Addressable ad campaigns using Alteryx workflows and ExcelGenerate Media Delivery reports for Addressable campaigns according to agency templatesGenerate affidavits for Linear Addressable campaignsPerform qualitycheck of other analysts code for various projectsTroubleshoot datasystem quality control issues for addressable campaign reportingWork with Campaign Operations Sales and Marketing on a regular basisBachelors Degree in Computer Science Statistics Mathematics or related disciplineMinimum of 1 year handson experience performing SQL queries in a business settingAbility to explain complex technical ideas to multiple audiences verbally and in writingAbility to work with a massive amount of dataAbility to work well under pressure and manage multiple projects simultaneouslyProficient in advanced Excel skills eg formulas pivot tables Vlookup Word and PowerPointAbility to extract sales stories from quantitative research toolssoftwareAbility to work independently and resolve problemsExcellent organizational interpersonal and communication skillsDetail oriented with strong followthrough and multitasking skillsInterest in media research a plusAltice USA is an Equal Opportunity Employer committed to recruiting hiring and promoting qualified people of all backgrounds regardless of gender race color creed national origin religion age marital status pregnancy physical or mental disability sexual orientation gender identity military or veteran status or any other basis protected by federal state or local lawAltice USA Inc collects personal information about its applicants for employment that may include personal identifiers professional or employment related information photos education information andor protected classifications under federal and state law This information is collected for employment purposes including identification work authorization FCRAcompliant background screening human resource administration and compliance with federal state and local law"
"7",7,"Healthcare Analytics - Data Scientist","CVS Health","New York, NY","Ability to work with large data sets from multiple data sources.3 years of relevant programming or analytic experience.","https://www.indeed.com/rc/clk?jk=15b237a2988d24c8&fccid=be3b11aa573faee7&vjs=3","167ac9e73f82b59d3dcf8848d5f998d6","Its a new day in health care Combining CVS Health and Aetna was a groundbreaking moment for our company and our industry establishing CVS Health as the nations premier health innovation company Through our health services insurance plans and community pharmacists were pioneering a bold new approach to total health As a CVS Health colleague youll be at the center of it all We offer a diverse work experience that empowers colleagues for career success In addition to skill and experience we also seek to attract and retain colleagues whose beliefs and behaviors are in alignment with our core values of collaboration innovation caring integrity and accountabilityLooking for opportunities to use cutting edge technologies analyzing petabytes of data in a world class Hadoop cluster Interested in generating analytical insights that help members make the best decisions for the individual care needs Aetnas Member analytics team is an innovative team tasked with optimizing our ability to engage with members to help them make better healthcare decisions Our goal is to improve clinical outcomes and to help members gain more transparency into the healthcare system so that they can save money To do this weve developed a leading capability that combines data science agile marketing behavioral economics large scale experimentation and optimization of our digital properties and applications Through this we message millions of members each year about real challenges they face and help them become more healthy or save money  we drive tangible and meaningful impact for our members A common campaign for us would include a number of predictive models that identify specific members to message at specific moments a suite of creative tactics with varying behavioral economics principles to deliver content and the use of a large number of channels and apps in a highly coordinated and journey based fashion  all deployed by our own team through the experimentation platform that weve developed Our organization can launch campaigns in as little as six weeks and then over time will optimize and tune them we currently maintain and optimize a portfolio of over one hundred very specific behavioral campaigns We are constantly expanding and seeking to develop new campaigns and develop our ability to maximize behavior change by improving our ability to engage across channels and increasingly have a large focus on doing this through our apps Our work encompasses identifying impactful behaviors to target designing campaigns for them optimizing those campaigns and optimizing our overall functionality to do so If you join our organization youll become an expert in understanding decision making and behavior applying cutting edge machine learningexperimentationbehavioral science techniques developing software to expand the ability to engage building out digital properties and running an agile business that innovates at large scale and high velocity And youll know that your work directly impacts our membership in a positive way Develops validates and executes algorithms and predictive models to investigate problems detect patterns and recommend solutionsExplores examines and interprets large volumes of data in various formsPerforms analyses of structured and unstructured data to solve moderately complex business problems utilizing advanced statistical techniques and mathematical analysesDevelops data structures and pipelines to organize collect and standardize data that helps generate insights and addresses reporting needsUses data visualization techniques to effectively communicate analytical results and support business decisions Creates and evaluates the data needs of assigned projects and assures the integrity of the dataExplores existing data and recommends additional sources of data for improvementsDocuments projects including business objectives data gathering and processing detailed set of results and analytical metricsRequired QualificationsDemonstrates good written and verbal communication skillsAble to present information to various audiencesEffectively resolves problems and roadblocks as they occurDemonstrates proficiency in several areas of data modeling machine learning algorithms statistical analysis data engineering and data visualizationAbility to work with large data sets from multiple data sources3 years of relevant programming or analytic experience Masters degree preferredBachelors degree or equivalent work experience in Mathematics Statistics Computer Science Business Analytics Economics Physics Engineering or related disciplinePreferred QualificationsPlease review required qualifications aboveEducationMasters degreeBusiness OverviewAt CVS Health we are joined in a common purpose helping people on their path to better health We are working to transform health care through innovations that make quality care more accessible easier to use less expensive and patientfocused Working together and organizing around the individual we are pioneering a new approach to total health that puts people at the heartWe strive to promote and sustain a culture of diversity inclusion and belonging every day CVS Health is an equal opportunity and affirmative action employer We do not discriminate in recruiting hiring or promotion based on race ethnicity sexgender sexual orientation gender identity or expression age disability or protected veteran status or on any other basis or characteristic prohibited by applicable federal state or local law We proudly support and encourage people with military experience active veterans reservists and National Guard as well as military spouses to apply for CVS Health job opportunities"
"8",8,"Data Scientist","CKM Analytix","New York, NY","Demonstrated proficiency in Python, in an academic or professional environment.","https://www.indeed.com/rc/clk?jk=4f308e7494216a57&fccid=dd616958bd9ddc12&vjs=3","2a5cd5065c5c48e7fe5ee8f89a9731a5","New York NY  Full TimeWere seeking Data Scientists who will help solve critical business problems and derive valuable insights for our clients Our teams apply business intuition along with a diverse set of methods and algorithms including but not limited to advanced analytics machine learning text mining process mining network analysis and data visualization to improve operations The ideal candidate is capable of ingesting processing and interpreting data sets that vary widely in size structure complexity and dimensionality They are quick to adapt to new technology and passionate about datadriven business problem solving for business operations They also thrive in crossfunctional teams and can clearly communicate technical concepts to nontechnical individualsCKM is on the forefront of leveraging data analytics to inform strategic decisionmaking and drive operational improvement for clients Our number one asset is our people who shape the uniquely creative and energetic culture at CKM Because were passionate about knowledge sharing and professional development we give our employees ample opportunity to satisfy natural curiosity access to the firms expertise plus the autonomy and authority to design and execute their own analysesWhy well love youBachelors Masters or PhDPassion for quantitative problem solving and developing data driven solutions to difficult business questionsDemonstrated proficiency in Python in an academic or professional environmentSkills in or familiarity with data cleaning natural language processing machine learning artificial intelligence visualization network analysis and distributed computing are a plusFamiliarity with database concepts and structuresAbility to communicate complex quantitative analyses clearlyFluent oral and written English communication skillsSelfstarter and team playerAbility and willingness to travel from time to time domestic and internationalAuthorized to work in the USWhy youll love usOur team is diverse and intellectually curious made up of people that youll genuinely enjoy spending time withWere fanatical about helping clients derive value from data and work on solving challenging problems within some of the worlds largest companiesWe are a meritocracy and consistently promote from withinWe move fast and are not afraid of evolving our tools technology and thinkingCompensation is competitive and commensurate with your degree and experience At CKM we celebrate our differences  they help our business thrive and our employees have fun CKM Analytix is proud to be an equal opportunity workplace We are dedicated to equal employment opportunities regardless of race color ancestry religion sex national orientation sexual orientation age citizenship marital status disability gender identityexpression or veteran statusApply for this job"
"9",9,"Data Scientist","BNY Mellon","New York, NY","As a data scientist, you will be embedded with the engineering team as the primary subject matter expert realated to data analysis, natural language processing…","https://www.indeed.com/rc/clk?jk=b0fea7a51c0d01ce&fccid=b4048be2884af072&vjs=3","129c5ad4dd4308416ff0cd035fe3649e","Data Scientist focused on data analysis for web based investment management application suite for Bank of New York Mellons Wealth Management division This will be a critical role working on a next generation web based platform for BNY Mellons wealth clients As a data scientist you will be embedded with the engineering team as the primary subject matter expert realated to data analysis natural language processing and machine learning for the platform The role will give the chosen candidate the opportunity to take on a wide ranging opportunity at a fast growing organization within the firm where you will be able to take on many responsibilities in a highly visibile roleQualificationsStrong Statistical and Mathematical BackgroundProficient in performing data analysis using python based libraries such as Pandas and NumpyStrong understanding of Machine Learning algorithms Supervised Learning and Unsupervised LearningUnderstanding of reinforcement learningUnderstanding of TensorFlowGood Understanding of Natural Language processing using Spacy and other python librariesUnderstanding of web crawling using python libraries such as ScrapyGood understanding of developing RestAPI using Flask andor FastAPIDesired  Experience in Tableau visualizationBNY Mellon is an Equal Employment OpportunityAffirmative Action EmployerMinoritiesFemalesIndividuals With DisabilitiesProtected VeteransOur ambition is to build the best global team  one that is representative and inclusive of the diverse talent clients and communities we work with and serve  and to empower our team to do their best work We support wellbeing and a balanced life and offer a range of familyfriendly inclusive employment policies and employee forumsPrimary Location United StatesNew YorkNew YorkInternal Jobcode PTSG28Job Information TechnologyOrganization Investment Management TechHR18028Requisition Number 2011488"
"10",10,"Data Scientist","Ampcontrol.io","New York, NY","High school or equivalent (Preferred).","https://www.indeed.com/company/Ampcontrol.io/jobs/Data-Scientist-18182f8c3475aab4?fccid=06de5ff6acdb6253&vjs=3","db163ce7e7c6d533631e6726c489fd40","Job detailsSalary70748  180896 a yearJob TypeFulltimeNumber of hires for this role1Full Job DescriptionAbout AmpcontrolWere Ampcontrol an AIpowered software for electric vehicle EV chargingWere a team of engineers and energy experts building the new way of EV charging We help companies to install more charging stations for electric vehicles and to build intelligent electric fleet systems Our cloudsoftware is used around the world and has received major industry prizes Were based in Europe and in the US and are venture backed with leading investors from around the world We are a remotefirst team with current members in Berlin New York and other locations in Europe click to see all jobs httpsbitly36DQlZLOur Mission Were on a mission to help the transition to 100 electric vehiclesWe believe in a future of selfmanaging reliable and affordable charging for companies fleet operators and humans on our planetThe Role Youll be responsible for building maintaining and improving our optimization algorithms models and simulation toolsDevelop our MLalgorithms in Python with an eye on performance and scalabilityWork with software engineers to build a stable and powerful MLapplications for realtime optimizationUse our own simulation tools build test and use new algorithmsMonitor and evaluate the performance of algorithmsWrite clean and easily maintainable code for our optimization engineWork very closely with the team on product planningContribute to the improvement of our software architecture and development processYou have More than 2 years of professional experience in Machine Learning and Data ScienceExperience with deploying algorithms in production systemsExperience in data science tools such as NumPy Pandas TensorFlow Gekko and similarWorking knowledge of advanced optimization algorithms and simulation approachesA good understanding in energy technologies and markets is a plusFluency in English for verbal and written communication is requiredComfortable working remotelyMotivation to work on electric vehicles and sustainabilityYoure willing to learn about The electric vehicle charging domainTimeseries databasesUpcoming technologies software libraries and cloud solutions and be eager to offer new solutionsWorking with software developers who need to translate your algorithms to productionready thoroughly tested and monitored solutionsHow to ApplySend it along with your github account if you have one or a piece of code and if you want to stand out  answer one of the following questionsWhat surprising thing have you learned in the last few monthsWhat is a project youre most proud of and whyWhat is your favorite Data Science book or online resourceJob Type FulltimePay 7074800  18089600 per yearScheduleMonday to FridayEducationHigh school or equivalent PreferredExperiencePython 1 year PreferredWork LocationFully RemoteThis Job Is Ideal for Someone Who IsDependable  more reliable than spontaneousDetailoriented  would rather focus on the details of work than the bigger pictureAutonomousIndependent  enjoys working with little directionInnovative  prefers working in unconventional ways or on tasks that require creativityHigh stress tolerance  thrives in a highpressure environmentCompanys websitehttpswwwampcontrolioCOVID19 PrecautionsRemote interview processVirtual meetings"
